"BehaviorSpace results (NetLogo 6.2.2)"
"JAN22_SEN1211_recyclingplastic_group5.tmp.nlogo"
"Yes_50% recycling"
"01/22/2022 22:39:20:650 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-perc-singles","initial-num-collection-points","show-bottles?","fraction-of-collection","model-version","population","initial-perc-families","fraction-of-technology","total-budget","fraction-of-campaign","recycling-changing-ratio","initial-perc-couples","max-bottles","initial-num-recycling-companies","C-capacity","collection-changing-ratio","R-capacity","[step]","total-collection","total-recycle","rate-recycling"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","13","0","0","0.8009697246981303"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","14","0","0","0.6895708589769729"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","12","0","0","0.5556309676342239"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","13","0","0","0.15924932975871314"
"1","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","11","0","0","0.6875692782837454"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","13","0","0","0.6996063637919614"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","13","0","0","0.8383203884285884"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","12","0","0","0.5354316911538907"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","13","0","0","0.5556309676342239"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","14","0","0","0.8009697246981303"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","14","0","0","0.15924932975871314"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","15","0","0","0.6895708589769729"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","14","0","0","0.6996063637919614"
"1","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","12","0","0","0.9567869662459713"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","14","0","0","0.8383203884285884"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","13","0","0","0.5354316911538907"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","14","0","0","0.5556309676342239"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","15","0","0","0.8009697246981303"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","15","0","0","0.6996063637919614"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","15","0","0","0.15924932975871314"
"1","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","13","0","0","0.9567869662459713"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","15","0","0","0.8383203884285884"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","16","0","0","0.5822886908547009"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","14","0","0","0.5354316911538907"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","15","0","0","0.5556309676342239"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.5","1000","0.25","1","0.3","10000000","2","1000","2","1000","16","0","0","0.5389684813753581"
