"BehaviorSpace results (NetLogo 6.2.2)"
"JAN22_SEN1211_recyclingplastic_group5.tmp.nlogo"
"Yes_50% knowladge"
"01/22/2022 22:30:18:485 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-perc-singles","initial-num-collection-points","show-bottles?","fraction-of-collection","model-version","population","initial-perc-families","fraction-of-technology","total-budget","fraction-of-campaign","recycling-changing-ratio","initial-perc-couples","max-bottles","initial-num-recycling-companies","C-capacity","collection-changing-ratio","R-capacity","[step]","total-collection","total-recycle","rate-recycling"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","10","0","0","0.8536538926489314"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","13","0","0","0.8290288531227613"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","11","0","0","0.9234697413106896"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","8","0","0","0.7365501947230515"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","13","0","0","0.8509565597202873"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","9","0","0","0.19066297169095595"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","10","0","0","0.21323076923076922"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","11","0","0","0.8536538926489314"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","14","0","0","0.8290288531227613"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","12","0","0","0.9624588990142167"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","9","0","0","0.7365501947230515"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","11","0","0","0.21323076923076922"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","12","0","0","0.7189870833518294"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","13","0","0","0.9624588990142167"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","15","0","0","0.8290288531227613"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","14","0","0","0.8509565597202873"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","10","0","0","0.19066297169095595"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","12","0","0","0.46662259805385026"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","13","0","0","0.7189870833518294"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","10","0","0","0.7365501947230515"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","14","0","0","0.9624588990142167"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","16","0","0","0.2866606506876939"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","13","0","0","0.46662259805385026"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","15","0","0","0.8509565597202873"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","11","0","0","0.7365501947230515"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","15","0","0","0.9624588990142167"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","17","0","0","0.2866606506876939"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","11","0","0","0.19066297169095595"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","14","0","0","0.7189870833518294"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","18","0","0","0.2866606506876939"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","14","0","0","0.46662259805385026"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","12","0","0","0.7997745274518868"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","16","0","0","0.26159935943094786"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","16","0","0","0.9833104262080476"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","12","0","0","0.781578947368421"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","19","0","0","0.2866606506876939"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","15","0","0","0.7189870833518294"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","15","0","0","0.46662259805385026"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","17","0","0","0.26159935943094786"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","13","0","0","0.7997745274518868"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","17","0","0","0.9833104262080476"
"1","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","4","0","0","0.31966688985969544"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","13","0","0","0.781578947368421"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","18","0","0","0.26159935943094786"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","16","0","0","0.5638096346619887"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","20","0","0","0.5993326724071616"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","16","0","0","0.8858329586424575"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","14","0","0","0.7997745274518868"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","18","0","0","0.9833104262080476"
"1","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","5","0","0","0.31966688985969544"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","19","0","0","0.26159935943094786"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","17","0","0","0.5638096346619887"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","21","0","0","0.5993326724071616"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","14","0","0","0.781578947368421"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","17","0","0","0.8858329586424575"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","15","0","0","0.7997745274518868"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","19","0","0","0.9833104262080476"
"1","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","6","0","0","0.31966688985969544"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","18","0","0","0.5638096346619887"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","20","0","0","0.13048710601719193"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","22","0","0","0.5993326724071616"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","18","0","0","0.8858329586424575"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","15","0","0","0.781578947368421"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","16","0","0","0.7415733215149383"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","20","0","0","0.8789719626168223"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","21","0","0","0.13048710601719193"
"1","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","7","0","0","0.31966688985969544"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","19","0","0","0.8858329586424575"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","23","0","0","0.5993326724071616"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","19","0","0","0.5638096346619887"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","17","0","0","0.7415733215149383"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","21","0","0","0.8789719626168223"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","16","0","0","0.5782051282051281"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","22","0","0","0.13048710601719193"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","24","0","0","0.5837661458195785"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","20","0","0","0.8932503378148511"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","20","0","0","0.4194464381570833"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","17","0","0","0.5782051282051281"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","22","0","0","0.8789719626168223"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","18","0","0","0.7415733215149383"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","23","0","0","0.13048710601719193"
"1","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","8","0","0","0.5123556435643424"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","21","0","0","0.8932503378148511"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","25","0","0","0.5837661458195785"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","18","0","0","0.5782051282051281"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","21","0","0","0.4194464381570833"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","23","0","0","0.8789719626168223"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","19","0","0","0.7415733215149383"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","24","0","0","0.9328063922581946"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","22","0","0","0.8932503378148511"
